Time,"High Vacuum Gauge","Low Vacuum Gauge","ProfEng-1.Target Set Point Loop 1","Plate Control.Process Value","Plate Control.Set Point","Plate Control.Closed-Loop Set Point","ProfEng-1.Target Set Point Loop 2","Shroud Control.Process Value","Shroud Control.Set Point","Shroud Control.Closed-Loop Set Point","LN2 Scale","LN2 Tare","LN2 Final","Plate Control.Profile Setpoint","Plate Control.Remote Setpoint","Shroud Control.Profile Setpoint","Shroud Control.Remote Setpoint","Mod3-1 RTDs.UI1-Filtered Process Value","Mod3-1 RTDs.UI2-Filtered Process Value","Mod3-1 RTDs.UI3-Filtered Process Value","Mod3-1 RTDs.UI4-Filtered Process Value","CommsErrorCode","CommsErrorItem","CommsErrors"
02/19/2026 10:18:45,5.6500E+002,7.7000E+002,1.0500E+002,2.3009E+001,2.6550E+001,2.3728E+001,1.0500E+002,2.1687E+001,2.6550E+001,2.2400E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:19:00,5.6300E+002,7.7000E+002,1.0500E+002,2.3023E+001,2.6550E+001,2.4428E+001,1.0500E+002,2.1684E+001,2.6550E+001,2.3100E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:19:15,5.6600E+002,7.7000E+002,1.0500E+002,2.3036E+001,2.6550E+001,2.5233E+001,1.0500E+002,2.1684E+001,2.6550E+001,2.3905E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:19:30,5.6600E+002,7.7000E+002,1.0500E+002,2.3029E+001,2.5000E+001,2.3412E+001,1.0500E+002,2.1679E+001,2.5000E+001,2.1831E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:19:45,5.6000E+002,7.7000E+002,1.0500E+002,2.3046E+001,2.5000E+001,2.4217E+001,1.0500E+002,2.1691E+001,2.5000E+001,2.2636E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:20:00,5.7000E+002,7.7000E+002,1.0500E+002,2.3033E+001,2.5000E+001,2.4922E+001,1.0500E+002,2.1687E+001,2.5000E+001,2.3341E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:20:15,5.6300E+002,7.7000E+002,1.0500E+002,2.3038E+001,2.5000E+001,2.5000E+001,1.0500E+002,2.1683E+001,2.5000E+001,2.4141E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:20:30,5.5700E+002,7.7000E+002,1.0500E+002,2.3034E+001,2.5000E+001,2.5000E+001,1.0500E+002,2.1677E+001,2.5000E+001,2.4846E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:20:45,5.5900E+002,7.7000E+002,1.0500E+002,2.3051E+001,2.5000E+001,2.5000E+001,1.0500E+002,2.1699E+001,2.5000E+001,2.5000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
02/19/2026 10:21:00,5.5400E+002,7.7000E+002,1.0500E+002,2.3028E+001,2.5000E+001,2.5000E+001,1.0500E+002,2.1687E+001,2.5000E+001,2.5000E+001,0.0000E+000,2.7200E+002,-2.7200E+002,2.6550E+001,0.0000E+000,2.6550E+001,0.0000E+000,-1.7778E+001,-1.7778E+001,-1.7778E+001,-1.7778E+001,0,"",0
